_id,internal_id,contract_id,contract_title,contract_value,contract_date,contract_ref_num,contract_url,contract_finish_date,employer,contractor,signed_by,contract_registery_date,contract_type,contract_funding,city,locality,province
18,3992,95COD5B0073A,عملیات تکمیل سدنم رود وتاسیسات وابسته,"1,303,958,638,252",1395-12-24,2-77-25,https://cdb.mporg.ir/ContractViewIndex?ctrId=j94PoG/CMjQ=,1398-6-24,شرکت سهامی آب منطقه ای تهران,قرارگاه سازندگی خاتم الانبیاء(ص) - فاطر,فرزام هاشم نیا,1396-07-26T00:00:00,پیمانکاری,اعتبارات تملک دارایی های سرمایه ای,ارجمند,فیروزکوه,تهران
19,4850,962A563907218,عملیات اجرایی احداث قطعه سوم آزادراه مراغه - سراجو - هشترود حدفاصل کیلومتر 317+25 الی 000+45,"700,899,290,658",1395-7-12,47/78746,https://cdb.mporg.ir/ContractViewIndex?ctrId=w3FsfX8yYXE=,1397-7-12,معاونت ساخت وتوسعه آزادراهها,قرارگاه سازندگی خاتم الانبیاء(ص) - فاطر,ایرج راد,1396-07-26T00:00:00,پیمانکاری,اعتبارات تملک دارایی های سرمایه ای,مراغه,مراغه,آذربایجان شرقی
20,31950,9766563907C2,احداث قطعه دوم راه اصلی محور گچساران - چرام,"1,575,592,974,356",1397-2-19,15/97/18567,https://cdb.mporg.ir/ContractViewIndex?ctrId=3c0dTvlkR44=,1400-8-19,شرکت ساخت و توسعه زیربناهای حمل و نقل کشور,قرارگاه سازندگی خاتم الانبیاء(ص) - فاطر,نعمت اکبری,1397-06-06T00:00:00,پیمانکاری,اعتبارات تملک دارایی های سرمایه ای,دوگنبدان,گچساران,کهگیلویه وبویراحمد
21,4017,95COD5B0174C,احداث سامانه مهارآب نشتی سدلار,"5,808,778,787,179",1395-12-24,2-91-18,https://cdb.mporg.ir/ContractViewIndex?ctrId=Wtes0RK+AUo=,1400-12-24,شرکت سهامی آب منطقه ای تهران,قرارگاه سازندگی خاتم الانبیاء(ص)- اروندان,فرزام هاشم نیا,1396-07-26T00:00:00,پیمانکاری طرح و ساخت صنعتی و  غیرصنعتی,اعتبارات تملک دارایی های سرمایه ای,آبعلی,دماوند,تهران
22,40824,958C56390700164,بهسازی محور صالح آباد - مهران,"784,095,103,455",1395-8-2,16/27878,https://cdb.mporg.ir/ContractViewIndex?ctrId=UCRZ4WuNkMs=,1397-2-2,اداره کل راه و شهرسازی ایلام,قرارگاه سازندگی خاتم الانبیاء(ص)-ولیعصر(عج),وحید محبی,1397-09-21T00:00:00,پیمانکاری,اعتبارات تملک دارایی های سرمایه ای,مهران,مهران,ایلام
23,1859,90BKC49D8714,خرید 17 قلم انواع قطعات یدکی ماشین آلات,"32,433,978,200",1390-11-20,027/م.س.ک/90,https://cdb.mporg.ir/ContractViewIndex?ctrId=wtXKaK2JEN4=,1393-11-20,شرکت ملی مناطق نفت خیز جنوب,قرارگاه سازندگی خاتم الاوصیا,مجید فرد,1396-07-26T00:00:00,تامین کالا,اعتبارات هزینه ای,,,
24,1940,9365C49D8717,خرید 8 قلم قطعات یدکی,"16,474,824,000",1393-6-5,101/م.س.ک/1393,https://cdb.mporg.ir/ContractViewIndex?ctrId=JzkXIAsHGBI=,1394-6-5,شرکت ملی مناطق نفت خیز جنوب,قرارگاه سازندگی خاتم الاوصیا,مجید فرد,1396-07-26T00:00:00,تامین کالا,اعتبارات هزینه ای,,,
25,2372,922OC49D8411,خرید 42 قلم  قطعات یدکی کمپرسور,"174,144,413,750",1392-2-24,042/م.س.ک/1392,https://cdb.mporg.ir/ContractViewIndex?ctrId=1AktdurEHHg=,1393-2-24,شرکت ملی مناطق نفت خیز جنوب,قرارگاه سازندگی خاتم الاوصیا,مجید فرد,1396-07-26T00:00:00,تامین کالا,اعتبارات هزینه ای,,,
26,2373,9131C49D8410,خرید 146 قلم قطعات یدکی توربین گازی ورکسپور,"49,673,390,000",1391-3-1,007/م.س.ک/91,https://cdb.mporg.ir/ContractViewIndex?ctrId=QNaRGcZdWaY=,1394-3-1,شرکت ملی مناطق نفت خیز جنوب,قرارگاه سازندگی خاتم الاوصیا,مجید فرد,1396-07-26T00:00:00,تامین کالا,اعتبارات هزینه ای,,,
27,2460,9131C49D8429,خرید 68 قلم انواع قطعات یدکی کمپرسور های گازی,"200,972,110,000",1391-3-1,008/م.س.ک/92,https://cdb.mporg.ir/ContractViewIndex?ctrId=wasNaONo+vQ=,1392-11-1,شرکت ملی مناطق نفت خیز جنوب,قرارگاه سازندگی خاتم الاوصیا,مجید فرد,1396-07-26T00:00:00,تامین کالا,اعتبارات هزینه ای,,,
28,2531,93A1C49D841E,خرید اقلام یدکی توربین  G.E.C,"59,828,690,000",1393-10-1,119/م.س.ک,https://cdb.mporg.ir/ContractViewIndex?ctrId=xkgQihhzClQ=,1395-10-1,شرکت ملی مناطق نفت خیز جنوب,قرارگاه سازندگی خاتم الاوصیا,مجید فرد,1396-07-26T00:00:00,تامین کالا,اعتبارات هزینه ای,,,
29,4198,934OC49D841E,خرید اقلام یدکی توربین G.E.C,"23,326,928,485",1393-4-24,098/م.س.ک/93,https://cdb.mporg.ir/ContractViewIndex?ctrId=dQMtMHyGT3Y=,1394-6-24,شرکت ملی مناطق نفت خیز جنوب,قرارگاه سازندگی خاتم الاوصیا,مجید فرد,1396-07-26T00:00:00,تامین کالا,اعتبارات هزینه ای,,,
30,4216,94AUC49D8426,خرید 47 قلم قطعات یدکی کمپرسور گازی هودن,"19,383,083,000",1393-6-5,100/م.س.ک/93,https://cdb.mporg.ir/ContractViewIndex?ctrId=vhyRjMuP1Vo=,1394-6-5,شرکت ملی مناطق نفت خیز جنوب,قرارگاه سازندگی خاتم الاوصیا,مجید فرد,1396-07-26T00:00:00,تامین کالا,اعتبارات هزینه ای,,,
31,49373,97CEC49D070017B,خط لوله انتقال گاز 36 اینچ دره عبای / ماهشهر,"836,395,666,966",1396-11-8,96/791103,https://cdb.mporg.ir/ContractViewIndex?ctrId=/07scMjt1r8=,1397-11-8,شرکت مهندسی وتوسعه گاز ایران,قرارگاه سازندگی خاتم النبیاء ( ص ),محسن بیطوشی,1397-12-19T00:00:00,پیمانکاری,اعتبارات تملک دارایی های سرمایه ای,بندرماهشهر,بندرماهشهر,خوزستان
32,2990,9573C49D447A,"انجام خدمات پاکسازی مناطق مرزی از مین و تله های انفجاری عمل نکرده و سایر موارد انفجاری در مناطق غرب ،جنوب و جنوب غرب کشور","113,650,000,000",1395-7-3,50-74-40161,https://cdb.mporg.ir/ContractViewIndex?ctrId=P/dXWUFenkI=,1396-7-3,شرکت بهره برداری نفت و گاز شرق,قرارگاه مهندسی نیروی زمینی سپاه نزسا,حسن نیکی اکبری,1396-07-26T00:00:00,امور خدماتی,اعتبارات هزینه ای,تهران,تهران,تهران
